id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm
34255-C-001;;Saint-Loup;"Arrêt de bus ""Saint-Loup"", D986e1";Saint-Gely-du-Fesc;34255;Auto-stop;17/10/2017;True;810157982.0;3.805534;43.697425;;;;;;True;
03233-C-001;;St Genest;Route départementale n°50;Saint-Genest;3233;Auto-stop;26/04/2018;True;810157982.0;2.5917511;46.2647797;;;;;;True;
17331-C-001;;Médiathèque;Abri bus - Route de Jonzac;Saint-Genis-de-Saintonge;17331;Auto-stop;13/01/2020;True;810157982.0;-0.569079;45.478711;;;;;;True;
62749-C-001;;Rue principale;82 rue principale;Saint-Georges;62749;Auto-stop;19/09/2019;True;810157982.0;2.07191;50.359515;;;;;;True;
82162-C-001;;Centre Village;;Saint-Georges;82162;Auto-stop;17/10/2017;True;810157982.0;1.6434216;44.2222296;;;;;;False;
17332-C-001;;Antignac;Place de l'église;Saint-Georges-Antignac;17332;Auto-stop;29/05/2020;True;810157982.0;-0.467262;45.499098;;;;;;True;
12225-C-001;;Centre;Rue du Mas de Guillou;Saint-Georges-de-Luzencon;12225;Auto-stop;17/10/2017;True;810157982.0;2.9833928;44.063634;;;;;;True;
17335-C-001;;Ecole;Place de l'Ecole;Saint-Georges-des-Agouts;17335;Auto-stop;20/05/2020;True;810157982.0;-0.646675;45.374669;;;;;;False;
17336-C-001;;CITE BEL AIR;ROUTE DES ESSARTS;Saint-Georges-des-Coteaux;17336;Auto-stop;23/08/2019;True;810157982.0;-0.7182063;45.7690828;;;;;;True;
40261-C-001;;Mairie;DAX (RTE DE) - 40230 SAINT-GEOURS-DE-MAREMNE;Saint-Geours-de-Maremne;40261;Auto-stop;17/10/2017;True;810157982.0;-1.228314;43.6875203;;;;;;True;
01357-C-001;;Saint-Germain-de-Joux Hôtel;;Saint-Germain-de-Joux;1357;Auto-stop;20/06/2019;True;810157982.0;5.74083;46.17673;;;;;;True;
17339-C-001;;Face Chemin des Joncs;Avenue de la Libération;Saint-Germain-de-Lusignan;17339;Auto-stop;26/02/2020;True;810157982.0;-0.456131;45.450561;;;;;;True;
17341-C-001;;Place de l'Eglise;Le Bourg;Saint-Germain-de-Vibrac;17341;Auto-stop;09/03/2020;True;810157982.0;-0.323582;45.425466;;;;;;False;
45279-C-001;;Moulin Plateau 2;81 Avenue du Moulin Plateau;Saint-Germain-des-Pres;45279;Auto-stop;13/03/2019;True;810157982.0;2.804818;47.957916;;;;;;False;
17342-C-001;;Place;Rue des Kitchenottes;Saint-Germain-du-Seudre;17342;Auto-stop;24/01/2020;True;810157982.0;-0.66876;45.51258;;;;;;True;
91552-C-001;;Route de Leuville 2;85 rue Raymond Fauré;Saint-Germain-les-Arpajon;91552;Auto-stop;20/06/2019;True;810157982.0;2.2563773;48.6102373;;;;;;True;
77412-C-001;;La Rionnerie;Rue de la Ferté-Alais;Saint-Germain-sur-Ecole;77412;Auto-stop;20/06/2019;True;810157982.0;2.505381;48.478427;;;;;;True;
09261-C-001;;DEFA;5 Avenue de la Résistance;Saint-Girons;9261;Auto-stop;09/12/2020;True;810157982.0;1.1445411;42.9795294;;;;;;True;
64481-C-001;;Bourg ancienne Mairie;Mairie;Saint-Goin;64481;Auto-stop;04/01/2022;True;810157982.0;-0.701093;43.247056;2.0;;;;;False;
17343-C-001;;D146 / Rue de Gariat;;Saint-Gregoire-d'Ardennes;17343;Auto-stop;24/01/2020;True;810157982.0;-0.49988;45.50472;;;;;;True;
34261-C-001;;Parking navette 1;2-12 Avenue Saint-Benoît d'Aniane;Saint-Guilhem-le-Desert;34261;Auto-stop;24/08/2020;True;810157982.0;3.5531592;43.7316718;;;;;;False;
34262-C-001;;Mairie;;Saint-Guiraud;34262;Auto-stop;09/03/2021;True;810157982.0;3.4547006;43.6765572;;;;;;False;
38395-C-001;;Les Châtains;;Saint-Hilaire;38395;Auto-stop;17/10/2017;True;810157982.0;5.88964;45.31906;;;;;;False;
34263-C-001;;Centre;"Arrêt de bus ""Centre"", D120";Saint-Hilaire-de-Beauvoir;34263;Auto-stop;17/10/2017;True;810157982.0;4.011818;43.755667;;;;;;True;
